Prompt,"And in the end, the dragon was not evil; he just wanted ______.",,,v1.0,v1.1a,v1.1b,v1.2,,,,Prompt,______ is OP. Please nerf.,,,,,,v1.1b,v1.2,,,Prompt,And the Acadamy Award for Best Picture goes to... ______ Everywhere All At Once!,,,v1.0,,
Prompt,"Critics are raving about HBO's new fantasy series, ""______ of ______.""",,,,,,v1.2,,,,Prompt,______ is way better in ______ mode.,,PICK 2,Pax East 2014,v1.0,v1.1a,v1.1b,,,,Prompt,"Coming to theaters, He Got ______: A Spike Lee Joint.",,,v1.0,,
Prompt,"Critics are raving about HBO's new Game of Thrones spin-off, ""______ of ______.""",PICK 2,,v1.0,v1.1a,v1.1b,,,,,Prompt,______: Achievement unlocked.,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Prompt,"Fans are up in arms after learning that the new ""Little Mermaid"" is ______.",,,v1.0,,
Prompt,"Having tired of poetry and music, the immortal elves now fill their days with ______.",,,v1.0,v1.1a,v1.1b,v1.2,,,,Prompt,"(Heavy breathing) Luke, I am ______.",,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,,,,,,,
Prompt,Legend tells of a princess who has been asleep for a thousand years and can only be awoken by ______.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Prompt,Press ↓ ↓ ← → B to unleash ______.,,,Pax East 2013 Pack C,v1.0,v1.1a,v1.1b,v1.2,,,Response,"A Batman movie where Batman gets bitten by a radioactive snake, which turns him into Snake Batman, and he slithers around Gotham swallowing criminals.",,,v1.0,,
Prompt,"Who blasphemes and bubbles at the center of all infinity, whose name no lips dare speak aloud, and who gnaws hungrily in inconceivable, unlighted chambers beyond time?",,,v1.0,v1.1a,v1.1b,v1.2,,,,Prompt,What made Spock cry?,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Response,A bunch of crazy anime shit.,,,v1.0,,
Prompt,"Your father was a powerful wizard, Harry. Before he died, he left you something very precious: ___.",,,v1.0,v1.1a,v1.1b,v1.2,,,,Prompt,What's the latest bullshit that's troubling this quaint fantasy town?,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Response,A Human Centipede-type scenario.,,,v1.0,,
,,,,,,,,,,,,,,,,,,,,,,Response,"A movie where two hot people fall in love, but there's a problem.",,,v1.0,,
Response,A CGI dragon.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,A fully-dressed female videogame character.,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Response,A sudden jump cut to Ed Harris fucking a swan.,,,v1.0,,
Response,A dwarf who won't leave you alone until you compare penis sizes.,,,v1.0,v1.1a,v1.1b,,,,,Response,A grumpy old Harrison Ford who'd rather be doing anything else.,,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,Response,A whole lot of Jews.,,,v1.0,,
Response,A gay sorcerer who turns everyone gay.,,,v1.0,v1.1a,v1.1b,,,,,Response,"A homemade, cum-stained Star Trek uniform.",,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Response,Accidentally spilling John Wick's coffee.,,,v1.0,,
Response,A ghoul.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Achieving 500 actions per minute.,,,Pax East 2013 Pack C,v1.0,v1.1a,v1.1b,v1.2,,,Response,An all-female reboot of The Godfather.,,,v1.0,,
Response,A gnome who won’t leave you alone until you compare penis sizes.,,,,,,v1.2,,,,Response,An unskippable cutscene.,,,,,,,v1.2,,,Response,"Dave Bautista's huge, muscular neck.",,,v1.0,,
Response,A Hitachi Magic Wand.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Charging up all the way.,,,Pax East Pack C,v1.0,v1.1a,v1.1b,,,,Response,Dispensing hot popcorn butter all over my tight little asshole.,,,v1.0,,
Response,A hot swamp full of horny witches.,,,,,,v1.2,,,,Response,Eating a pizza that's lying in the street to gain health.,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Response,Diverse casting decisions.,,,v1.0,,
Response,A magical kingdom with dragons and elves and no black people.,,,v1.0,v1.1a,,,,,,Response,Endless ninjas.,,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,Response,"Explosions, shouting, guns, breasts, etc.",,,v1.0,,
Response,"A mysterious, floating orb.",,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,"Forgetting to eat, and consequently dying.",,,Pax East 2013 Pack C,v1.0,v1.1a,v1.1b,v1.2,,,Response,Getting my balls smashed in a film clapboard.,,,v1.0,,
Response,A weed elemental who gets everyone high.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Getting bitch slapped by Dhalsim.,,,Pax East 2013 Pack A,v1.0,v1.1a,v1.1b,v1.2,,,Response,Getting slapped by Will Smith.,,,v1.0,,
Response,Accidentally conjuring a legless horse that can't stop ejaculating.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Getting bitten by a radioactive spider and then battling leukemia for 30 years.,,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,Response,Having sex with all the cars from Cars.,,,v1.0,,
Response,Astral-projecting into the Goat Realm.,,,,,v1.1b,v1.2,,,,Response,KHAAAAAAAAAN!,,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,Response,"I am Groot I am Groot I am Groot ARE YOU LAUGHING YET? I am Groot I am Groot I am Groot ISN'T IT FUNNY? I am Groot I am Groot I am Groot HAHAHA IT'S SO FUCKING FUNNY THAT'S ALL HE CAN SAY, GOD I LOVE MARVEL.",,,v1.0,,
Response,Bathing naked in a moonlit grove.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Lag.,,,,,,,v1.2,,,Response,James Cameron staring in the mirror and wondering why he's devoted thirty years of his life to blue-alien hentai.,,,v1.0,,
Response,Dinosaurs who wear armor and you ride them and they kick ass.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Leroooooooooooy Jenkins!,,,,,,,v1.2,,,Response,Jumanji.,,,v1.0,,
Response,Eternal darkness.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Loading from a previous save.,,,Pax East 2013 Pack B,v1.0,v1.1a,v1.1b,v1.2,,,Response,Laura Dern.,,,v1.0,,
Response,Foraging for berries in yonder wood.,,,,,v1.1b,v1.2,,,,Response,Microtransactions.,,,,,,,v1.2,,,Response,Marty McFly's horny mom.,,,v1.0,,
Response,"Freaky, pan-dimensional sex with a demigod.",,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,My anime body pillow.,,,,,,,v1.2,,,Response,Quentin Tarantino's foot fetish.,,,v1.0,,
Response,Gender equality.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Offering sexual favors for an ore and a sheep.,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,Response,Shamelessly pandering to the lowest common denominator.,,,v1.0,,
Response,Going on an epic adventure and learning a valuable lesson about friendship.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Running out of stamina.,,,Pax East 2013 Pack A,v1.0,v1.1a,v1.1b,,,,Response,Some kind of psychosexual David Lynch situation.,,,v1.0,,
Response,Handcuffing a wizard to a radiator and dousing him with kerosene.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Separate drinking fountains for dark elves.,,,Pax East 2014,v1.0,v1.1a,,,,,Response,Subtext.,,,v1.0,,
Response,Hodor.,,PAX East 2014,v1.0,v1.1a,v1.1b,,,,,Response,Ser Jorah Mormont's cerulean-blue balls.,,,Pax East 2014,v1.0,v1.1a,v1.1b,,,,Response,The movie White Chicks.,,,v1.0,,
Response,How hot Orlando Bloom was in Lord of the Rings.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Sharpening a foam broadsword on a foam whetstone.,,,Pax East 2013 Pack B,v1.0,v1.1a,v1.1b,,,,Response,The Muppet adaptation of Schindler's List.,,,v1.0,,
Response,Kneeing a wizard in the balls.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Stuffing my balls into a Sega Genesis and pressing the power button.,,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,Response,Whacking off to the diarrhea scene in Bridesmaids.,,,v1.0,,
Response,Make-believe stories for autistic white men.,,,v1.0,v1.1a,,,,,,Response,Taking 2d6 emotional damage.,,,Pax East 2014,v1.0,v1.1a,v1.1b,v1.2,,,,,,,,,
Response,Reading The Hobbit under the covers while mom and dad scream at each other downstairs.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,Tapping Serra Angel. ,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,,,,,TOTALS:,,,30,0,0
Response,Shitting in a wizard's spell book and jizzing in his hat.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,The Cock Ring of Alacrity.,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,,,,,,,
Response,Shooting a wizard with a gun.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,The collective wail of every Magic player suddenly realizing that they've spent hundreds of dollars on pieces of cardboard.,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,,,,,,,
Response,The all-seeing Eye of Sauron.,,,v1.0,v1.1a,v1.1b,v1.2,,,,Response,The depression that ensues after catching 'em all.,,,Pax East 2013 Pack B,v1.0,v1.1a,v1.1b,v1.2,,,,,,,,,
Response,"The bond of brotherhood forged in battle, unbreakable and eternal.",,,,,,v1.2,,,,Response,Waluigi.,,,,,,,v1.2,,,,,,,,,
Response,"The card Neil Gaiman wrote: ""Three elves at a time.""",,,v1.0,v1.1a,v1.1b,,,,,Response,Yoshi's huge egg-laying cloaca. ,,,Pax Prime 2013,v1.0,v1.1a,v1.1b,v1.2,,,,,,,,,
Response,"Ticketmaster, LORD of Tickets, ENFORCER of Surcharges, DENIER of Refunds!",,,,,,v1.2,,,,,,,,,,,,,,,,,,,,,
Response,True love's kiss.,,,v1.0,v1.1a,v1.1b,v1.2,,,,,TOTALS:,TOTALS:,,,30,30,30,30,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,32,32,32,32,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,World Wide Web Pack,Special,Special,Notes,v1.0,v1.1,,,,,Set,Pussy Pack,Special,Duplicates,V1.0,,
Set,Period Pack,Special,Duplicates,v1.0,,,,,,,,"30 cards 
Released: November 19, 2015. 
Icon: @
Updated Icon: Globe with mouse pointer
 ",,,,,,,,,,,"30 all-new horrible cards selected live by Noelle from @bap.kat w/ 2 exclusive picture cards featuring Noelle—only 10,000 copies made.

Release Date: October 2024 TBD
Icon: An astrick
",,,,,
,"30 cards
Released: 7/11/17. 
Icon: Three Blood Droplets
Updated Icon: tampon with blood drops",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"Don't worry, Penny! Go Go Gadget ______!",,,u/lunchtabler,v1.0,v1.1,,,,,Prompt,______? Bap!,"exclusive cards to first 10,000",,,,
Prompt,Can a woman really have it all? A career and ______?,,,v1.0,,,,,,,Prompt,I need you like ______ needs ______.,PICK 2,PICK 2,u/budde_,v1.0,v1.1,,,,,Response,[picture of Noelle's butt],"exclusive cards to first 10,000",,,,
Prompt,"My body, my voice! ______, my choice!",,,v1.0,,,,,,,Prompt,"I'm just gonna stay in tonight. You know, Netflix and ______.",,,u/trippysnail,v1.0,v1.1,,,,,,,,,,,
Prompt,My vagina's angry. My vagina's furious and needs to talk. It needs to talk about ______.,,,v1.0,,,,,,,Prompt,"Nothing says ""I love you"" like ______.",,,u/budde_,v1.0,v1.1,,,,,Response,[picture of an angry hairless cat],,,v1.0,,
Prompt,"New fom Mattel, it's ______ Barbie!",,,v1.0,,,,,,,Prompt,Such ______. Very ______. Wow.,PICK 2,PICK 2,u/chaosprime,v1.0,v1.1,,,,,Response,A box with a 50% chance of a dead cat in it.,,,v1.0,,
Prompt,Tampax: Don’t let your period ruin ______.,,,v1.0,,,,,,,Prompt,"This app is basically Tinder, but for ______.",,,u/Cassiyus,v1.0,v1.1,,,,,Response,A gift of a dead chipmunk.,,,v1.0,,
Prompt,What gets me wet?,,,v1.0,,,,,,,Prompt,TRIGGER WARNING: ______.,,,u/SaintZvlkx,v1.0,v1.1,,,,,Response,Banning TikTok.,,,v1.0,,
,,,,,,,,,,,Prompt,What did I nickname my genitals?,,,u/Keeyez,v1.0,v1.1,,,,,Response,Being someone's property.,,,v1.0,,
Response,A diverse group of female friends casually discussing the side effects of birth control.,,,v1.0,,,,,,,Prompt,"You guys, you can buy ______ on the dark web.",,,u/GibsonGolden,v1.0,,,,,,Response,Bombing a preschool.,,,v1.0,,
Response,A woman president.,,,v1.0,,,,,,,,,,,,,,,,,,Response,Bussy.,,,v1.0,,
Response,Always© Infinity Extra Heavy Overnight Pads with Wings.,,,v1.0,,,,,,,Response,A complete inability to understand anyone else's perspective.,,,u/nezumipi,v1.0,v1.1,,,,,Response,Catfishing.,,,v1.0,,
Response,An emotionally draining friendship.,,,v1.0,,,,,,,Response,"A fun, sexy time at the nude beach.",,,u/rauhan42,v1.0,v1.1,,,,,Response,Chicken bones from the trash can.,,,v1.0,,
Response,Carrying a fetus to term.,,,v1.0,,,,,,,Response,A man from Craigslist.,,,u/locabus,v1.0,v1.1,,,,,Response,Destigmatizing bestiality.,,,v1.0,,
Response,Catching a whiff of my vag.,,,v1.0,,,,,,,Response,A night of Taco Bell and anal sex.,,,u/jacfalcon,v1.0,v1.1,,,,,Response,Dying at age 15.,,,v1.0,,
Response,Dancing carefree in white linen pants.,,,v1.0,,,,,,,Response,A respectful discussion of race and gender on the Internet.,,,u/respite,v1.0,v1.1,,,,,Response,Eating my sister's hamster. ,,,v1.0,,
Response,Destroying a pair of underwear.,,,v1.0,,,,,,,Response,Cat massage.,,,u/WhatNot303,v1.0,v1.1,,,,,Response,"Falling down the stairs, dying, and getting eaten by my cat.",,,v1.0,,
Response,Drinking Beyoncé's DivaCup and becoming immortal.,,,v1.0,,,,,,,Response,Destroying Dick Cheney's last horcrux.,,,u/the_xaiax,v1.0,,,,,,Response,Feline AIDS.,,CATS theatre,v1.0,,
Response,Driving my daughter to her abortion.,,,v1.0,,,,,,,Response,Game of Thrones spoilers.,,,u/Zulais,v1.0,,,,,,Response,Finally hazzing cheezburger. ,,,v1.0,,
Response,Eating three sleeves of Chips Ahoy!,,,v1.0,,,,,,,Response,Getting death threats.,,,,,v1.1,,,,,Response,Having no opinion about whether the Holocaust happened.,,,v1.0,,
Response,Feeling bloaty and crampy.,,,v1.0,,,,,,,Response,Getting teabagged by a fifth grader in Call of Duty.,,,u/Majikku,v1.0,v1.1,,,,,Response,Killing 2.4 billion birds every year. ,,,v1.0,,
Response,Feeling lots of feelings.,,,v1.0,,,,,,,Response,Goats screaming like people.,,,u/grabmydrumstick,v1.0,v1.1,,,,,Response,Leaving a dog in a hot car. ,,,v1.0,,
Response,Full bush.,,,v1.0,,,,,,,Response,Googling.,,,u/RustbeltTramp,v1.0,,,,,,Response,Lesbian catgirls.,,,v1.0,,
Response,How bloody that dick's about to be.,,,v1.0,,,,,,,Response,Internet porn analysis paralysis.,,,u/AchillesPDX,v1.0,v1.1,,,,,Response,Licking my own asshole.,,,v1.0,,
Response,Masturbating with a Sonicare.,,,v1.0,,,,,,,Response,Lofi hip hop beats to relax/study to.,,,,,v1.1,,,,,Response,Livestreaming my anus while the poop comes out.,,,v1.0,,
Response,Period globs.,,,v1.0,,,,,,,Response,Matching with Mom on Tinder.,,,u/seanbooker,v1.0,v1.1,,,,,Response,Monetizing my pussy.,,,v1.0,,
Response,Playing with my pussy while I watch TV.,,,v1.0,,,,,,,Response,My browser history.,,,u/sylviamadethis,v1.0,v1.1,,,,,Response,My legal right to defecate anywhere I want on my own property. ,,,v1.0,,
Response,Post-partum depression.,,,v1.0,,,,,,,Response,My privileged white penis.,,,u/WhatNot303,v1.0,v1.1,,,,,Response,My rough little tongue.,,,v1.0,,
Response,Pulling out a never-ending tampon.,,,v1.0,,,,,,,Response,Pretending to be black.,,,u/SUSAN_IS_A_BITCH,v1.0,v1.1,,,,,Response,Secretly pissing behind the couch every day.,,,v1.0,,
Response,Pussy lips of all shapes and sizes.,,,v1.0,,,,,,,Response,Smash Mouth.,,,u/thealmightydru,v1.0,v1.1,,,,,Response,Setting a dog on fire and watching it die. ,,,v1.0,,
Response,Ringing out a sopping wet maxi pad into Donald Trump's mouth.,,,v1.0,,,,,,,Response,Some racist-ass shit.,,,,,v1.1,,,,,Response,Telling you to kill yourself. ,,,v1.0,,
Response,The vagina hole.,,,v1.0,,,,,,,Response,Taking a shit while running at full speed.,,,u/UltraBlumpkin07,v1.0,v1.1,,,,,Response,The undeniable sex appeal of cats.,,,v1.0,,
Response,Using a Smucker's Uncrustable™ as a maxi pad.,,,v1.0,,,,,,,Response,That thing on the Internet everyone's talking about.,,,u/swim_to_survive,v1.0,,,,,,Response,Tummy rubs.,,,v1.0,,
,,,,,,,,,,,Response,Three years of semen in a shoebox.,,,u/TBoneTheOriginal,v1.0,v1.1,,,,,Response,Validation from internet strangers.,,,v1.0,,
,TOTALS:,,,30,0,0,0,0,0,,Response,Tweeting an apology.,,,,,v1.1,,,,,,,,,,,
,,,,,,,,,,,Response,W. W. W. DOT BIG DADDY SEX HOLE DOT COM.,,,,,v1.1,,,,,,TOTALS:,,,30,,
,,,,,,,,,,,Response,Youtube comments.,,,u/BaronVonChang,v1.0,v1.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTALS:,,,,30,30,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Weed Pack,Special,Special,Duplicates,v1.1,,,,,,,,,,,,
Set,College Pack,Special,Duplicates,v1.0,v1.1,v1.2,,,,,,"30 cards
Released: 7/11/17. 
Icon: Cannabis Leaf
Updated Icon: cannabis leaf with a smile",,,,,,,,,,,,,,,,
,"30 cards
Released: July 29, 2018  
Icon: Plastic cup
Updated Icon: beer can (updated Nov 2020 v 1.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,
